study_tags,run_case_id,study_notes,case_order,solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np2_64x64x4096_device","small nsys at 2 GPUs",3,tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,3,10,device,0.003769938,0.003748531,0.002784389,2.003e-05,3.5613e-05,1.8337e-05,1.1277e-05,9.464e-06,1.339e-05,9.06299999999e-06,0.000889615,0.003665831,4.9003e-05,5.6553e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np2_64x64x4096_device","small nsys at 2 GPUs",3,tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,4,10,device,0.0037715,0.0037521705,0.002782605,2.0019e-05,2.5989e-05,1.7997e-05,1.1067e-05,9.263e-06,2e-05,9.16299999999e-06,0.000887041,0.003669927,4.5748e-05,5.6082e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np2_64x64x4096_device","small nsys at 2 GPUs",3,tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,5,10,device,0.003759603,0.003738756,0.002773592,2.1011e-05,1.5313e-05,1.8097e-05,1.1487e-05,9.42499999999e-06,1.4642e-05,9.254e-06,0.000889174,0.003673742,2.9955e-05,5.7516e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np2_64x64x4096_device","small nsys at 2 GPUs",3,tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,6,10,device,0.003773783,0.0037561115,0.002778309,2.022e-05,2.626e-05,1.8378e-05,1.1076e-05,9.284e-06,2.5408e-05,9.465e-06,0.000886581,0.003666592,5.0426e-05,5.7206e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np2_64x64x4096_device","small nsys at 2 GPUs",3,tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,7,10,device,0.003770649,0.0037503435,0.002781084,2.004e-05,1.9389e-05,1.8478e-05,1.0846e-05,9.464e-06,1.322e-05,9.36300000001e-06,0.000890386,0.003681244,3.2609e-05,5.7136e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np2_64x64x4096_device","small nsys at 2 GPUs",3,tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,8,10,device,0.003773583,0.0037541185,0.002779792,1.973e-05,2.656e-05,1.8357e-05,1.1428e-05,9.26399999999e-06,1.368e-05,9.08400000001e-06,0.000890817,0.003682037,4.024e-05,5.6244e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np2_64x64x4096_device","small nsys at 2 GPUs",3,tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,9,10,device,0.003772041,0.0037526415,0.002786422,1.9809e-05,1.8598e-05,1.952e-05,1.1227e-05,9.34399999999e-06,1.4292e-05,9.08300000001e-06,0.000889225,0.003682838,3.289e-05,5.7116e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,0,10,device,0.044854012,0.0448222395,0.001753912,3.1607e-05,0.04078177,4.9725e-05,2.8903e-05,1.0205e-05,0.002428765,1.1738e-05,0.00050607,0.002288885,0.042465467,0.000103275
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,1,10,device,0.002274714,0.0022717045,0.001553732,2.2714e-05,0.000136655,2.1102e-05,1.2819e-05,9.985e-06,1.6335e-05,9.905e-06,0.000495674,0.002062225,0.00015299,6.3215e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,2,10,device,0.002161304,0.0021577035,0.001550237,2.1532e-05,3.0436e-05,2.0211e-05,1.1607e-05,1.0075e-05,1.9048e-05,9.604e-06,0.000496285,0.002058129,4.9484e-05,6.1422e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,3,10,device,0.00215216,0.002150152,0.001551489,2.023e-05,1.9389e-05,2.021e-05,1.1267e-05,9.805e-06,1.8558e-05,9.524e-06,0.000494973,0.002057729,3.7947e-05,5.9769e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,4,10,device,0.002157607,0.0021540115,0.001546491,2.1192e-05,1.7797e-05,1.982e-05,1.1507e-05,9.915e-06,2.678e-05,9.545e-06,0.000497626,0.002054932,4.3635e-05,6.0472e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,5,10,device,0.002147663,0.0021450895,0.001545059,2.1102e-05,1.8928e-05,1.975e-05,1.1487e-05,9.855e-06,1.9489e-05,9.775e-06,0.000495123,0.002051669,3.7346e-05,6.0482e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,6,10,device,0.002153672,0.002149511,0.001547212,2.1492e-05,1.9249e-05,2.2243e-05,1.1337e-05,9.95500000001e-06,2.0981e-05,9.87500000001e-06,0.000497547,0.002056096,4.023e-05,6.3435e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,7,10,device,0.002150437,0.002147488,0.001550597,2.1433e-05,1.9158e-05,1.973e-05,1.1287e-05,9.865e-06,1.4812e-05,9.71399999999e-06,0.000496696,0.00205858,3.397e-05,6.0742e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,8,10,device,0.002149736,0.0021482085,0.001546541,2.1642e-05,2.22439999999e-05,2.02600000001e-05,1.1528e-05,9.63399999998e-06,1.7947e-05,9.80500000003e-06,0.000496105,0.002054174,4.0191e-05,6.13410000001e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,9,10,device,0.002156316,0.0021525405,0.001550798,2.0811e-05,1.9981e-05,2.02709999999e-05,1.15470000001e-05,9.69500000003e-06,1.8498e-05,9.36399999996e-06,0.000499379,0.002061724,3.8479e-05,6.01409999998e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,0,10,device,0.045242184,0.0452396755,0.003300543,3.1457e-05,0.039343672,4.4447e-05,2.8933e-05,1.0505e-05,0.001474673,1.2129e-05,0.001010317,0.004339793,0.040818195,9.7086e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,1,10,device,0.004353083,0.004351761,0.003115996,2.2584e-05,0.000151648,2.051e-05,1.3351e-05,1.0266e-05,1.6575e-05,9.79499999999e-06,0.000997497,0.00412456,0.000167021,6.3145e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,2,10,device,0.00420498,0.004204019,0.003103126,2.0932e-05,1.8148e-05,1.9539e-05,1.1187e-05,9.87499999999e-06,1.8388e-05,9.71399999999e-06,0.000997076,0.004110048,3.5353e-05,5.9899e-05
